z,prep (post kz-fft),nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25,b1_den_median
1.400000000000000000e+01,2.951881833723746240e-05,1.609112950973212719e-05,3.000648757733870298e-05,2.932858478743582964e-05,2.857391882571391761e-05,3.035294685105327517e-05,2.951052556454669684e-05,2.857316394511144608e-05,1.076972603797912598e+00
1.500000000000000000e+01,3.021764860022813082e-05,1.592732587596401572e-05,2.954078263428527862e-05,2.870992830139584839e-05,2.484871765773277730e-05,2.955233503598719835e-05,2.922604289778973907e-05,2.762892836472019553e-05,1.137473583221435547e+00
1.600000000000000000e+01,3.048272083105985075e-05,1.630115730222314596e-05,3.048004145966842771e-05,2.927505192928947508e-05,2.893368582590483129e-05,3.040151204913854599e-05,2.991234578075818717e-05,2.868064439098816365e-05,1.088979482650756836e+00
1.700000000000000000e+01,3.016570008185226470e-05,1.621333103685174137e-05,3.008685780514497310e-05,2.963957558677066118e-05,2.872138247766997665e-05,3.007637496921233833e-05,2.964186751341912895e-05,2.870631396945100278e-05,1.083645582199096680e+00
1.800000000000000000e+01,3.007733175763860345e-05,1.588131272001191974e-05,2.974925519083626568e-05,2.924414729932323098e-05,2.829227196343708783e-05,2.968190528918057680e-05,2.926905290223658085e-05,2.838094223989173770e-05,1.102422952651977539e+00
1.900000000000000000e+01,3.023482167918700725e-05,1.605654142622370273e-05,2.992524605360813439e-05,2.958101504191290587e-05,2.856155151675920933e-05,2.995533941430039704e-05,2.963366387120913714e-05,2.879940984712447971e-05,1.092124462127685547e+00
2.000000000000000000e+01,3.082677721977233887e-05,1.629420512472279370e-05,3.033295797649770975e-05,3.012308116012718529e-05,2.936640339612495154e-05,3.034085057151969522e-05,3.011956141563132405e-05,2.934279291366692632e-05,1.079747200012207031e+00
2.100000000000000000e+01,3.105317591689527035e-05,1.638619505683891475e-05,3.078876034123823047e-05,3.048977850994560868e-05,2.935717384389135987e-05,3.075779022765345871e-05,3.045398079848382622e-05,2.967539512610528618e-05,1.069668292999267578e+00
2.200000000000000000e+01,3.005897815455682576e-05,1.601869371370412409e-05,3.036886846530251205e-05,2.979096097988076508e-05,2.881127147702500224e-05,3.037033820874057710e-05,2.984348975587636232e-05,2.911239789682440460e-05,1.065568566322326660e+00
2.300000000000000000e+01,2.963770202768500894e-05,1.577008697495330125e-05,2.968067929032258689e-05,2.927350942627526820e-05,2.823546492436435074e-05,2.982501246151514351e-05,2.926566412497777492e-05,2.854277045116759837e-05,1.074540376663208008e+00
2.400000000000000000e+01,2.963066253869328648e-05,1.583392986503895372e-05,2.985108949360437691e-05,2.921172745118383318e-05,2.453569504723418504e-05,2.991608926095068455e-05,2.941126876976341009e-05,2.876350299629848450e-05,1.060021996498107910e+00
