t_s,nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25
8.794024331180757770e+01,3.158934487146325409e-05,6.416795076802372932e-05,6.365336594171822071e-05,5.981783033348619938e-05,6.391906936187297106e-05,6.385182496160268784e-05,5.792954470962285995e-05
9.157199377306216093e+01,3.147187817376106977e-05,6.380374543368816376e-05,6.358329119393602014e-05,5.979157140245661139e-05,6.364774162648245692e-05,6.380105332937091589e-05,5.778836930403485894e-05
9.520374423431674415e+01,3.262638347223401070e-05,6.516199209727346897e-05,6.396918615791946650e-05,5.967143806628882885e-05,6.521763862110674381e-05,6.428849155781790614e-05,5.778170088888145983e-05
9.883549469557134159e+01,3.406552423257380724e-05,6.610325362998992205e-05,6.400854908861219883e-05,5.941301060374826193e-05,6.618150655413046479e-05,6.475711415987461805e-05,5.784691165899857879e-05
1.024672451568259248e+02,3.326222213217988610e-05,7.039833144517615438e-05,6.733366171829402447e-05,5.955050073680467904e-05,7.076431938912719488e-05,6.875366671010851860e-05,5.865111597813665867e-05
1.060989956180805223e+02,3.533702329150401056e-05,7.086770347086712718e-05,6.734521593898534775e-05,5.948305988567881286e-05,7.148272561607882380e-05,6.868575292173773050e-05,5.861807949258945882e-05
1.097307460793351055e+02,3.191210271324962378e-05,6.772525375708937645e-05,6.659730570390820503e-05,5.936541128903627396e-05,6.733866757713258266e-05,6.754830246791243553e-05,5.833512113895267248e-05
1.133624965405897029e+02,3.359038237249478698e-05,6.667303387075662613e-05,6.451494118664413691e-05,5.871620669495314360e-05,6.687920540571212769e-05,6.559849134646356106e-05,5.746641545556485653e-05
1.169942470018442862e+02,3.298664523754268885e-05,6.543428753502666950e-05,6.311358447419479489e-05,5.744169175159186125e-05,6.568478420376777649e-05,6.434833630919456482e-05,5.610779044218361378e-05
1.206259974630988836e+02,3.038911381736397743e-05,6.075658166082575917e-05,5.903756391489878297e-05,5.443266491056419909e-05,6.078269507270306349e-05,5.969584890408441424e-05,5.291500565363094211e-05
1.242577479243534668e+02,2.951743226731196046e-05,6.064278204576112330e-05,5.868140578968450427e-05,5.419942317530512810e-05,6.069125811336562037e-05,5.959516056464053690e-05,5.269922257866710424e-05
1.278894983856080643e+02,3.183692024322226644e-05,6.039386789780110121e-05,5.852054891875013709e-05,5.414300903794355690e-05,6.052448588889092207e-05,5.929526378167793155e-05,5.272374619380570948e-05
1.315212488468626475e+02,3.056663990719243884e-05,5.932672502240166068e-05,5.805496039101853967e-05,5.398862776928581297e-05,5.941634299233555794e-05,5.867100844625383615e-05,5.264015271677635610e-05
