frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
29,15.40,0.0231,0.8831,32.7265,0.5972,0.0296,0.8799,30.5689,0.5192,0.0130,0.9403,37.7013,0.7475,0.0166,0.9336,35.5803,0.7611,0.0126,0.9460,37.9786,0.7377,0.0057,0.9828,44.9259,0.9093,0.0087,0.9595,41.2581,0.8492
30,15.92,0.0231,0.8831,32.7265,0.5972,0.0297,0.8796,30.5439,0.5183,0.0130,0.9403,37.6988,0.7480,0.0166,0.9336,35.5832,0.7612,0.0126,0.9457,37.9735,0.7368,0.0068,0.9790,43.4092,0.9014,0.0087,0.9594,41.2339,0.8468
31,16.44,0.0231,0.8831,32.7265,0.5972,0.0298,0.8793,30.5189,0.5174,0.0131,0.9402,37.6814,0.7485,0.0166,0.9336,35.5745,0.7615,0.0126,0.9453,37.9613,0.7357,0.0067,0.9782,43.4834,0.8892,0.0087,0.9589,41.2076,0.8442
32,16.96,0.0231,0.8831,32.7265,0.5972,0.0298,0.8791,30.5067,0.5170,0.0131,0.9400,37.6484,0.7490,0.0167,0.9335,35.5538,0.7617,0.0127,0.9447,37.9414,0.7342,0.0061,0.9793,44.3214,0.8950,0.0087,0.9588,41.2070,0.8470
33,17.48,0.0231,0.8831,32.7265,0.5972,0.0298,0.8791,30.5192,0.5175,0.0132,0.9398,37.6209,0.7495,0.0167,0.9332,35.5304,0.7617,0.0127,0.9438,37.9114,0.7324,0.0068,0.9794,43.3185,0.9060,0.0087,0.9590,41.1998,0.8480
34,18.01,0.0231,0.8831,32.7265,0.5972,0.0297,0.8795,30.5574,0.5189,0.0131,0.9395,37.6428,0.7496,0.0167,0.9329,35.5330,0.7611,0.0128,0.9425,37.8672,0.7296,0.0064,0.9785,43.9244,0.8975,0.0089,0.9581,41.0372,0.8434
35,18.53,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.5976,0.5206,0.0130,0.9394,37.7412,0.7487,0.0166,0.9326,35.6204,0.7585,0.0129,0.9404,37.7910,0.7251,0.0067,0.9748,43.4462,0.8758,0.0090,0.9573,40.8787,0.8434
36,19.05,0.0231,0.8831,32.7212,0.5969,0.0296,0.8810,30.5825,0.5202,0.0129,0.9392,37.8177,0.7440,0.0161,0.9329,35.8828,0.7522,0.0131,0.9371,37.6375,0.7171,0.0066,0.9804,43.6288,0.9106,0.0093,0.9554,40.6024,0.8359
37,19.57,0.0250,0.8761,32.0395,0.5805,0.0298,0.8849,30.5231,0.5156,0.0129,0.9412,37.7647,0.7358,0.0149,0.9380,36.5269,0.7464,0.0133,0.9353,37.5514,0.7061,0.0059,0.9807,44.6520,0.8966,0.0095,0.9552,40.4801,0.8250
38,20.09,0.0308,0.8548,30.2274,0.5303,0.0306,0.8891,30.2939,0.5244,0.0139,0.9426,37.1296,0.7417,0.0133,0.9448,37.5551,0.7612,0.0134,0.9326,37.4542,0.7018,0.0062,0.9790,44.1921,0.8894,0.0098,0.9523,40.1709,0.8175
